References,Quantity,Value / MPN,Footprint,Manufacturer,Supplier part,Lifecycle / assembly note,3D model
"C2010,C2011,C2012,C2013,C20130,C20131,C20132,C2014,C2015,C2016,C2017,C2020,C2021,C2022,C2023,C20230,C20231,C20232,C2024,C2025,C2026,C2027,C290,C291",24,100n,C_0402_1005Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
"C20120,C20121,C20220,C20221",4,1u,C_0603_1608Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
"C20122,C20123,C20222,C20223",4,2.2u,C_0603_1608Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
"C2031,C2041,C2051,C2061,C270,C272,C273",7,4.7uF 10V,C_0603_1608Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
"C2032,C2042,C2052,C2062",4,10uF 6.3V,C_0603_1608Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
"C260,C265",2,2.2uF,C_0603_1608Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
"C261,C262,C266,C267",4,1uF 10V,C_0603_1608Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
C271,1,2.2uF 10V,C_0603_1608Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
C274,1,1uF,C_0603_1608Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
C280,1,68n COMP,C_0402_1005Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
C281,1,10uF 10V,C_0402_1005Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
"C282,C283",2,10uF 16V,C_0402_1005Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
D201,1,DFLS160-7,D_SOD-123,Diodes Incorporated,,Active,yes
"FB2011,FB2012,FB2013,FB2014,FB2015,FB2016,FB2017,FB2021,FB2022,FB2023,FB2024,FB2025,FB2026,FB2027",14,600R@100MHz,L_0603_1608Metric,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
J201,1,J_DISPLAY_LEFT 245863050104829+,Kyocera_245863050104829_50P_P0.35,KYOCERA AVX,,Active; official drawing and STEP,yes
J202,1,J_DISPLAY_RIGHT 245863050104829+,Kyocera_245863050104829_50P_P0.35,KYOCERA AVX,,Active; official drawing and STEP,yes
"L203,L204,L205,L206",4,2.2uH,L_Abracon_ASPI-4030S,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,yes
L207,1,4.7uH 1.6A DFE252010,L_APV_ANR252010,TOKO/Murata,,Verify current stock,yes
