Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",127.000000,-33.000000,180.000000,bottom
"C2","10u","C_0603_1608Metric",130.000000,-33.000000,180.000000,bottom
"C3","10u","C_0603_1608Metric",133.000000,-33.000000,180.000000,bottom
"C4","10u","C_0603_1608Metric",136.000000,-33.000000,180.000000,bottom
"C5","10u","C_0603_1608Metric",139.000000,-33.000000,180.000000,bottom
"C6","100n","C_0603_1608Metric",142.000000,-33.000000,180.000000,bottom
"C7","330p","C_0603_1608Metric",145.000000,-33.000000,180.000000,bottom
"C8","330p","C_0603_1608Metric",148.000000,-33.000000,180.000000,bottom
"C9","10u","C_0603_1608Metric",128.000000,-62.000000,180.000000,bottom
"C10","10u","C_0603_1608Metric",131.000000,-62.000000,180.000000,bottom
"C11","10u","C_0603_1608Metric",134.000000,-62.000000,180.000000,bottom
"C12","100n","C_0603_1608Metric",137.000000,-62.000000,180.000000,bottom
"C13","10u","C_0603_1608Metric",140.000000,-62.000000,180.000000,bottom
"C14","10u","C_0603_1608Metric",143.000000,-62.000000,180.000000,bottom
"C15","100n","C_0603_1608Metric",128.000000,-59.000000,180.000000,bottom
"C16","4u7","C_0603_1608Metric",131.000000,-59.000000,180.000000,bottom
"C17","47n","C_0603_1608Metric",134.000000,-59.000000,180.000000,bottom
"C18","47n","C_0603_1608Metric",137.000000,-59.000000,180.000000,bottom
"C19","10u","C_0603_1608Metric",128.000000,-46.000000,180.000000,bottom
"C20","10u","C_0603_1608Metric",131.000000,-46.000000,180.000000,bottom
"C21","10u","C_0603_1608Metric",134.000000,-46.000000,180.000000,bottom
"C22","10u","C_0603_1608Metric",137.000000,-46.000000,180.000000,bottom
"C23","10u","C_0603_1608Metric",140.000000,-46.000000,180.000000,bottom
"C24","100n","C_0603_1608Metric",143.000000,-46.000000,180.000000,bottom
"C25","100n","C_0603_1608Metric",146.000000,-46.000000,180.000000,bottom
"C26","1u","C_0603_1608Metric",149.000000,-46.000000,180.000000,bottom
"C27","47p","C_0603_1608Metric",152.000000,-46.000000,180.000000,bottom
"C53","100n PCIe AC","C_0402_1005Metric",104.000000,-48.000000,180.000000,bottom
"C54","100n PCIe AC","C_0402_1005Metric",106.000000,-48.000000,180.000000,bottom
"C57","100u low-ESR","C_0603_1608Metric",145.000000,-57.000000,180.000000,bottom
"C58","100u low-ESR","C_0603_1608Metric",148.000000,-57.000000,180.000000,bottom
"C59","22u 25V","C_0603_1608Metric",151.000000,-57.000000,180.000000,bottom
"C60","22u 25V","C_0603_1608Metric",154.000000,-57.000000,180.000000,bottom
"C64","4.7u 10V","C_0603_1608Metric",128.000000,-56.000000,180.000000,bottom
"C65","10u 6.3V","C_0603_1608Metric",131.000000,-56.000000,180.000000,bottom
"C66","10u 6.3V","C_0603_1608Metric",134.000000,-56.000000,180.000000,bottom
"C67","120p C0G","C_0402_1005Metric",137.000000,-56.000000,180.000000,bottom
"J7","DF40C-100DP-0.4V(51) TRACKING","Hirose_DF40C-100DP-0.4V_2x50-1MP_P0.4mm",42.000000,-43.000000,180.000000,bottom
"L1","0.47uH XFL4015-471MEC","L_0402_1005Metric",131.000000,-38.000000,90.000000,bottom
"L2","SRP7050TA-2R2M 2.2uH 10A","Bourns_SRP7050TA",151.000000,-40.000000,180.000000,bottom
"L3","SRP5030CA-1R0M 1uH 9A","Bourns_SRP5030CA",140.000000,-39.000000,180.000000,bottom
"Module1","CM4 2GB/16GB/Wireless","Raspberry-Pi-4-Compute-Module",66.000000,-61.500000,90.000000,bottom
"R1","220k","R_0402_1005Metric",131.500000,-50.000000,180.000000,bottom
"R2","30k","R_0402_1005Metric",133.500000,-50.000000,180.000000,bottom
"R3","5.23k ILIM","R_0402_1005Metric",135.500000,-50.000000,180.000000,bottom
"R4","137k ILIM","R_0402_1005Metric",137.500000,-50.000000,180.000000,bottom
"R5","2.2k I2C","R_0402_1005Metric",139.500000,-50.000000,180.000000,bottom
"R6","2.2k I2C","R_0402_1005Metric",141.500000,-50.000000,180.000000,bottom
"R7","10k","R_0402_1005Metric",143.500000,-50.000000,180.000000,bottom
"R8","10k","R_0402_1005Metric",145.500000,-50.000000,180.000000,bottom
"R9","30.1k TS","R_0402_1005Metric",147.500000,-50.000000,180.000000,bottom
"R10","10k NTC","R_0402_1005Metric",149.500000,-50.000000,180.000000,bottom
"R11","100R BATP","R_0402_1005Metric",151.500000,-50.000000,180.000000,bottom
"R12","6.04k 2S","R_0402_1005Metric",153.500000,-50.000000,180.000000,bottom
"R19","75k 1V05 FB","R_0402_1005Metric",128.000000,-53.000000,180.000000,bottom
"R20","100k 1V05 FB","R_0402_1005Metric",130.000000,-53.000000,180.000000,bottom
"R21","100k 1V05 PG","R_0402_1005Metric",132.000000,-53.000000,180.000000,bottom
"R22","10k WIFI EN","R_0402_1005Metric",83.000000,-52.000000,180.000000,bottom
"R23","10k BT EN","R_0402_1005Metric",85.000000,-52.000000,180.000000,bottom
"R24","75k MODE","R_0402_1005Metric",144.000000,-53.000000,180.000000,bottom
"R25","51k MODE","R_0402_1005Metric",146.000000,-53.000000,180.000000,bottom
"R26","10k CLKREQ","R_0402_1005Metric",108.000000,-48.000000,180.000000,bottom
"R27","2.2k CHG SCL","R_0402_1005Metric",150.000000,-53.000000,180.000000,bottom
"R28","2.2k CHG SDA","R_0402_1005Metric",152.000000,-53.000000,180.000000,bottom
"U1","TPS62825DMQR","Texas_DMQ0006A_VSON-HR-6_1.5x1.5mm",129.000000,-38.000000,180.000000,bottom
"U2","TPS568230RJER","Texas_RJE0020A_VQFN-20-1EP_3x3mm_P0.45mm_EP0.675x0.76mm_ThermalVias",150.000000,-30.000000,180.000000,bottom
"U6","BQ25798RQMR","Texas_RQM0029A_VQFN-29_4x4mm_P0.4mm",141.000000,-29.000000,180.000000,bottom
"U12","TPS25751DREFR","Texas_REF0038A_WQFN-38_6x4mm_DualPad",132.000000,-29.000000,180.000000,bottom
"U13","CAT24C512WI-GT3","TSSOP-8_3x3mm_P0.65mm",125.000000,-25.000000,180.000000,bottom
"C28","100n","C_0402_1005Metric",119.000000,-61.000000,0.000000,top
"C29","100n","C_0402_1005Metric",122.000000,-61.000000,0.000000,top
"C30","100n","C_0402_1005Metric",125.000000,-61.000000,0.000000,top
"C31","100n","C_0402_1005Metric",128.000000,-61.000000,0.000000,top
"C32","100n","C_0402_1005Metric",131.000000,-61.000000,0.000000,top
"C33","100n","C_0402_1005Metric",134.000000,-61.000000,0.000000,top
"C34","100n","C_0402_1005Metric",137.000000,-61.000000,0.000000,top
"C35","100n","C_0402_1005Metric",119.000000,-64.000000,0.000000,top
"C36","100n","C_0402_1005Metric",122.000000,-64.000000,0.000000,top
"C37","100n","C_0402_1005Metric",125.000000,-64.000000,0.000000,top
"C38","10u","C_0402_1005Metric",128.000000,-64.000000,0.000000,top
"C39","1u","C_0402_1005Metric",121.000000,-67.000000,0.000000,top
"C40","1u","C_0402_1005Metric",124.000000,-67.000000,0.000000,top
"C41","1u","C_0402_1005Metric",43.000000,-62.000000,0.000000,top
"C42","1u","C_0402_1005Metric",46.000000,-62.000000,0.000000,top
"C43","100n","C_0402_1005Metric",49.000000,-62.000000,0.000000,top
"C44","10u","C_0402_1005Metric",52.000000,-62.000000,0.000000,top
"C45","10u","C_0402_1005Metric",43.000000,-65.000000,0.000000,top
"C46","10u","C_0402_1005Metric",46.000000,-65.000000,0.000000,top
"C47","10u","C_0402_1005Metric",49.000000,-65.000000,0.000000,top
"C48","100n","C_0402_1005Metric",52.000000,-65.000000,0.000000,top
"C49","1u C0G","C_0402_1005Metric",74.000000,-62.000000,0.000000,top
"C50","1u C0G","C_0402_1005Metric",77.000000,-62.000000,0.000000,top
"C51","1u C0G","C_0402_1005Metric",103.000000,-62.000000,0.000000,top
"C52","1u C0G","C_0402_1005Metric",106.000000,-62.000000,0.000000,top
"C55","100n PCIe AC","C_0402_1005Metric",116.000000,-45.000000,0.000000,top
"C56","100n PCIe AC","C_0402_1005Metric",118.000000,-45.000000,0.000000,top
"C61","100n JACK MIC","C_0402_1005Metric",39.000000,-57.000000,0.000000,top
"C62","47u HP LEFT","C_0603_1608Metric",38.000000,-48.000000,0.000000,top
"C63","47u HP RIGHT","C_0603_1608Metric",38.000000,-51.000000,0.000000,top
"C68","100n USB3 RESET","C_0402_1005Metric",110.000000,-58.000000,0.000000,top
"D1","TVS2200DRVR","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",38.000000,-66.000000,0.000000,top
"FB1","600R@100MHz ferrite","L_0603_1608Metric",86.000000,-62.000000,0.000000,top
"FID1","FIDUCIAL","Fiducial_1mm_Mask2mm",35.000000,-23.000000,0.000000,top
"FID2","FIDUCIAL","Fiducial_1mm_Mask2mm",145.000000,-23.000000,0.000000,top
"FID3","FIDUCIAL","Fiducial_1mm_Mask2mm",120.000000,-23.000000,0.000000,top
"J1","SJ-43514-SMT-TR","SameSky_SJ-43514-SMT-TR",29.000000,-52.000000,0.000000,top
