Quantity,References,Value,Footprint,Manufacturer,MPN,LCSC/Supplier PN,Assembly
1,L1,0.47uH XFL4015-471MEC,Board2_Recovered:L_0402_1005Metric,,,,FIT
2,"R261,R266",0R DNP to BL_PWM,Board2_Recovered:R_0402_1005Metric,,,,DNP
2,"R302,R303",0R SD DETECT OPTION,Board2_Recovered:R_0402_1005Metric,,,,DNP
1,R30,1.6k RREF VERIFY,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R11,100R BATP,Board2_Recovered:R_0402_1005Metric,,,,FIT
5,"R2032,R2042,R2051,R2052,R2062",100k 1%,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R20,100k 1V05 FB,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R21,100k 1V05 PG,Board2_Recovered:R_0402_1005Metric,,,,FIT
2,"R260,R265",100k RESET pulldown,Board2_Recovered:R_0402_1005Metric,,,,FIT
36,"C2010,C2011,C2012,C2013,C20130,C20131,C20132,C2014,C2015,C2016,C2017,C2020,C2021,C2022,C2023,C20230,C20231,C20232,C2024,C2025,C2026,C2027,C28,C29,C290,C291,C30,C31,C32,C33,C34,C35,C36,C37,C43,C48",100n,Board2_Recovered:C_0402_1005Metric,,,,FIT
5,"C12,C15,C24,C25,C6",100n,Board2_Recovered:C_0603_1608Metric,,,,FIT
1,C61,100n JACK MIC,Board2_Recovered:C_0402_1005Metric,,,,FIT
2,"C55,C56",100n PCIe AC,Board2_Recovered:C_0402_1005Metric,,,,FIT
1,C68,100n USB3 RESET,Board2_Recovered:C_0402_1005Metric,,,,FIT
2,"C57,C58",100u low-ESR,Board2_Recovered:C_0603_1608Metric,,,,FIT
6,"R2011,R2021,R294,R295,R7,R8",10k,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R2012,10k ADDR 0x0F,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R2022,10k ADDR 0x1F,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R23,10k BT EN,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R26,10k CLKREQ,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R10,10k NTC,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R29,10k OCI PU,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R31,10k RESET PU,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R32,10k SPI CLK PD,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R33,10k SPI CS PD,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R34,10k SPI MISO PU,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R35,10k SPI MOSI PD,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R22,10k WIFI EN,Board2_Recovered:R_0402_1005Metric,,,,FIT
5,"C38,C44,C45,C46,C47",10u,Board2_Recovered:C_0402_1005Metric,,,,FIT
15,"C1,C10,C11,C13,C14,C19,C2,C20,C21,C22,C23,C3,C4,C5,C9",10u,Board2_Recovered:C_0603_1608Metric,,,,FIT
2,"C65,C66",10u 6.3V,Board2_Recovered:C_0603_1608Metric,,,,FIT
1,C281,10uF 10V,Board2_Recovered:C_0402_1005Metric,,,,FIT
2,"C282,C283",10uF 16V,Board2_Recovered:C_0402_1005Metric,,,,FIT
4,"C2032,C2042,C2052,C2062",10uF 6.3V,Board2_Recovered:C_0603_1608Metric,,,,FIT
1,C301,10uF SD POWER (CM4 LITE ONLY),Board2_Recovered:C_0603_1608Metric,,,,FIT
1,L208,10uH >=2.5A WLED,Board2_Recovered:L_Abracon_ASPI-4030S,,,,FIT
1,C67,120p C0G,Board2_Recovered:C_0402_1005Metric,,,,FIT
1,R301,12k 1% SD_PWR_ON PU (CM4 LITE ONLY),Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R4,137k ILIM,Board2_Recovered:R_0402_1005Metric,,,,FIT
1,R282,147k 1% OVP,Board2_Recovered:R_0402_1005Metric,,,,FIT
4,"R73,R76,R77,R78",1k,Board2_Recovered:R_0402_1005Metric,,,,FIT
