Pair,P_length_mm,N_length_mm,Mismatch_mm,P_vias,N_vias,Layers
HDMI_L_CLK,26.0275,0.0000,26.0275,2,0,B.Cu/F.Cu/PWR_SIG2
HDMI_L_D0,27.5163,0.0000,27.5163,2,0,B.Cu/F.Cu/PWR_SIG2
HDMI_L_D1,0.0000,0.0000,0.0000,0,0,
HDMI_L_D2,31.8767,0.0000,31.8767,2,0,B.Cu/F.Cu/PWR_SIG2
HDMI_R_CLK,37.9763,0.0000,37.9763,2,0,B.Cu/F.Cu/PWR_SIG2
HDMI_R_D0,36.5181,0.0000,36.5181,2,0,B.Cu/F.Cu/PWR_SIG2
HDMI_R_D1,35.0377,0.0000,35.0377,2,0,B.Cu/F.Cu/PWR_SIG2
HDMI_R_D2,33.5854,0.0000,33.5854,2,0,B.Cu/F.Cu/PWR_SIG2
L_DSIA_CLK,0.0000,0.0000,0.0000,0,0,
L_DSIA_D0,0.0000,0.0000,0.0000,0,0,
L_DSIA_D1,0.0000,0.0000,0.0000,0,0,
L_DSIA_D2,0.0000,0.0000,0.0000,0,0,
L_DSIA_D3,0.0000,0.0000,0.0000,0,0,
L_DSIB_CLK,0.0000,0.0000,0.0000,0,0,
L_DSIB_D0,0.0000,0.0000,0.0000,0,0,
L_DSIB_D1,0.0000,0.0000,0.0000,0,0,
L_DSIB_D2,0.0000,0.0000,0.0000,0,0,
L_DSIB_D3,0.0000,0.0000,0.0000,0,0,
PCIE_CLK,0.0000,0.0000,0.0000,0,0,
PCIE_RX,0.0000,0.0000,0.0000,0,0,
PCIE_RX_USB3,9.2734,8.3409,0.9325,2,0,F.Cu/PWR_SIG2
PCIE_TX,0.0000,0.0000,0.0000,0,0,
R_DSIA_CLK,0.0000,0.0000,0.0000,0,0,
R_DSIA_D0,0.0000,0.0000,0.0000,0,0,
R_DSIA_D1,0.0000,0.0000,0.0000,0,0,
R_DSIA_D2,0.0000,0.0000,0.0000,0,0,
R_DSIA_D3,0.0000,0.0000,0.0000,0,0,
R_DSIB_CLK,0.0000,0.0000,0.0000,0,0,
R_DSIB_D0,0.0000,0.0000,0.0000,0,0,
R_DSIB_D1,0.0000,0.0000,0.0000,0,0,
R_DSIB_D2,0.0000,0.0000,0.0000,0,0,
R_DSIB_D3,0.0000,0.0000,0.0000,0,0,
USB3_RX,7.0592,9.5001,2.4408,3,2,B.Cu/F.Cu/PWR_SIG2
USB3_TX,4.6142,4.4122,0.2020,2,0,B.Cu/F.Cu
USB_C_RX1,22.3072,26.6523,4.3451,2,2,F.Cu/PWR_SIG1
USB_C_RX2,3.2830,17.8081,14.5251,0,3,B.Cu/F.Cu/PWR_SIG1
USB_C_TX1,22.4994,17.2417,5.2577,3,3,B.Cu/F.Cu/PWR_SIG1/PWR_SIG2
USB_C_TX2,19.6548,18.9809,0.6739,2,2,F.Cu/PWR_SIG2
