Pair,P_length_mm,N_length_mm,Mismatch_mm,P_vias,N_vias,Layers
HDMI_L_CLK,2.4585,23.6135,21.1551,1,2,B.Cu/F.Cu/PWR_SIG2
HDMI_L_D0,28.4729,0.9178,27.5551,2,1,B.Cu/F.Cu/PWR_SIG2
HDMI_L_D1,30.1735,6.1080,24.0655,2,2,B.Cu/F.Cu/PWR_SIG2
HDMI_L_D2,32.2714,1.2676,31.0037,2,1,B.Cu/F.Cu/PWR_SIG2
HDMI_R_CLK,1.4559,0.8494,0.6065,2,1,B.Cu/F.Cu
HDMI_R_D0,39.1469,36.1180,3.0289,2,2,B.Cu/F.Cu/PWR_SIG2
HDMI_R_D1,1.4467,33.9747,32.5280,2,2,B.Cu/F.Cu/PWR_SIG2
HDMI_R_D2,35.9188,0.9166,35.0022,2,1,B.Cu/F.Cu/PWR_SIG2
L_DSIA_CLK,0.8809,1.8301,0.9492,1,1,F.Cu
L_DSIA_D0,0.6587,0.0000,0.6587,1,0,F.Cu
L_DSIA_D1,0.0000,0.0000,0.0000,0,0,
L_DSIA_D2,0.6016,0.8133,0.2117,1,1,F.Cu
L_DSIA_D3,1.6713,0.0000,1.6713,1,0,F.Cu
L_DSIB_CLK,0.5955,0.0000,0.5955,1,0,F.Cu
L_DSIB_D0,1.1232,0.0000,1.1232,1,0,F.Cu
L_DSIB_D1,0.0000,0.0000,0.0000,0,0,
L_DSIB_D2,0.6295,0.0000,0.6295,1,0,F.Cu
L_DSIB_D3,0.6610,0.0000,0.6610,1,0,F.Cu
PCIE_CLK,43.8467,45.0367,1.1900,2,2,B.Cu/F.Cu/PWR_SIG2
PCIE_RX,2.4609,37.7001,35.2392,1,2,B.Cu/F.Cu/PWR_SIG2
PCIE_RX_USB3,10.7990,2.0660,8.7330,2,2,F.Cu/PWR_SIG2
PCIE_TX,2.4460,6.5817,4.1357,1,2,B.Cu/F.Cu
R_DSIA_CLK,0.6048,0.0000,0.6048,1,0,F.Cu
R_DSIA_D0,1.9627,0.7484,1.2144,1,1,F.Cu
R_DSIA_D1,1.9838,0.6852,1.2985,1,1,F.Cu
R_DSIA_D2,1.1813,0.6552,0.5261,1,1,F.Cu
R_DSIA_D3,0.6655,0.0000,0.6655,1,0,F.Cu
R_DSIB_CLK,0.8364,0.0000,0.8364,1,0,F.Cu
R_DSIB_D0,0.5886,0.0000,0.5886,1,0,F.Cu
R_DSIB_D1,0.6752,0.5899,0.0853,1,1,F.Cu
R_DSIB_D2,1.1464,0.6805,0.4660,1,1,F.Cu
R_DSIB_D3,0.8375,0.8317,0.0058,1,1,F.Cu
USB3_RX,7.8393,12.8944,5.0551,2,2,B.Cu/F.Cu/PWR_SIG1
USB3_TX,5.3059,4.2000,1.1059,2,0,F.Cu/PWR_SIG1
USB_C_RX1,22.9251,24.7703,1.8452,2,2,F.Cu/PWR_SIG1/PWR_SIG2
USB_C_RX2,17.3075,14.7818,2.5257,2,0,F.Cu/PWR_SIG1
USB_C_TX1,18.2060,20.2598,2.0538,2,2,F.Cu/PWR_SIG1
USB_C_TX2,20.1869,19.6971,0.4898,2,2,F.Cu/PWR_SIG1/PWR_SIG2
