Pair,P_length_mm,N_length_mm,Mismatch_mm,P_vias,N_vias,Layers,Electrically_complete
HDMI_L_CLK,26.3805,1.9730,24.4075,2,2,B.Cu/F.Cu/PWR_SIG2,NO
HDMI_L_D0,27.2665,25.0996,2.1669,2,2,B.Cu/F.Cu/PWR_SIG2,YES
HDMI_L_D1,1.7421,27.9488,26.2067,2,2,B.Cu/F.Cu/PWR_SIG2,NO
HDMI_L_D2,32.0977,28.6536,3.4440,2,2,B.Cu/F.Cu/PWR_SIG2,YES
HDMI_R_CLK,41.0781,38.2216,2.8566,2,2,B.Cu/F.Cu/PWR_SIG2,YES
HDMI_R_D0,3.0296,35.7344,32.7049,2,2,B.Cu/F.Cu/PWR_SIG2,NO
HDMI_R_D1,2.9401,2.1086,0.8314,2,2,B.Cu/F.Cu,NO
HDMI_R_D2,35.9609,32.2079,3.7530,2,2,B.Cu/F.Cu/PWR_SIG2,YES
L_DSIA_CLK,19.4260,4.0232,15.4028,2,2,F.Cu/PWR_SIG2,NO
L_DSIA_D0,23.5633,21.1886,2.3746,2,2,F.Cu/PWR_SIG2,YES
L_DSIA_D1,19.5365,19.2219,0.3146,2,2,F.Cu/PWR_SIG2,YES
L_DSIA_D2,17.3752,2.9177,14.4575,2,2,F.Cu/PWR_SIG2,NO
L_DSIA_D3,25.1833,22.1150,3.0683,2,2,F.Cu/PWR_SIG2,YES
L_DSIB_CLK,16.6872,18.1340,1.4468,1,2,F.Cu/PWR_SIG2,YES
L_DSIB_D0,6.6839,1.9466,4.7374,2,2,F.Cu,NO
L_DSIB_D1,17.5658,0.5243,17.0415,2,1,F.Cu/PWR_SIG2,NO
L_DSIB_D2,20.0776,0.4914,19.5862,3,1,F.Cu/PWR_SIG1/PWR_SIG2,NO
L_DSIB_D3,16.6299,18.6031,1.9732,2,2,F.Cu/PWR_SIG2,YES
PCIE_CLK,5.6860,4.3788,1.3072,2,2,B.Cu/F.Cu,NO
PCIE_RX,4.1517,42.1559,38.0041,2,3,B.Cu/F.Cu/PWR_SIG1/PWR_SIG2,NO
PCIE_RX_USB3,9.6503,9.2037,0.4466,2,2,F.Cu/PWR_SIG2,YES
PCIE_TX,0.8333,3.0396,2.2063,1,2,B.Cu/F.Cu,NO
R_DSIA_CLK,26.9836,3.9866,22.9970,2,1,F.Cu/PWR_SIG2,NO
R_DSIA_D0,30.8014,1.2528,29.5487,2,1,F.Cu/PWR_SIG2,NO
R_DSIA_D1,25.5997,30.5774,4.9777,2,2,F.Cu/PWR_SIG2,YES
R_DSIA_D2,25.3837,26.9466,1.5629,2,2,F.Cu/PWR_SIG2,YES
R_DSIA_D3,35.2412,31.8879,3.3533,3,2,F.Cu/PWR_SIG1/PWR_SIG2,YES
R_DSIB_CLK,24.1508,0.6306,23.5203,2,1,F.Cu/PWR_SIG2,NO
R_DSIB_D0,26.4352,2.0938,24.3414,2,2,F.Cu/PWR_SIG2,NO
R_DSIB_D1,1.4711,1.4128,0.0583,2,2,F.Cu,NO
R_DSIB_D2,27.2362,3.2687,23.9674,4,2,F.Cu/PWR_SIG1/PWR_SIG2,NO
R_DSIB_D3,24.1713,30.9423,6.7711,4,4,F.Cu/PWR_SIG1/PWR_SIG2,YES
USB3_RX,9.2024,9.3477,0.1452,3,2,F.Cu/PWR_SIG1/PWR_SIG2,YES
USB3_TX,4.9531,4.3695,0.5836,2,0,F.Cu/PWR_SIG2,YES
USB_C_RX1,22.0148,4.2034,17.8114,2,1,F.Cu/PWR_SIG1,NO
USB_C_RX2,17.1432,14.8093,2.3339,2,2,F.Cu/PWR_SIG1,YES
USB_C_TX1,19.4382,18.5973,0.8409,2,2,F.Cu/PWR_SIG1,YES
USB_C_TX2,19.2373,4.1619,15.0754,2,1,F.Cu/PWR_SIG1,NO
