Pair,P_length_mm,N_length_mm,Mismatch_mm,P_vias,N_vias,Layers,Electrically_complete
HDMI_L_CLK,0.0000,0.0000,0.0000,0,0,,NO
HDMI_L_D0,0.0000,0.0000,0.0000,0,0,,NO
HDMI_L_D1,0.0000,0.0000,0.0000,0,0,,NO
HDMI_L_D2,0.0000,0.0000,0.0000,0,0,,NO
HDMI_R_CLK,0.0000,0.0000,0.0000,0,0,,NO
HDMI_R_D0,0.0000,0.0000,0.0000,0,0,,NO
HDMI_R_D1,0.0000,0.0000,0.0000,0,0,,NO
HDMI_R_D2,0.0000,0.0000,0.0000,0,0,,NO
L_DSIA_CLK,0.0000,0.0000,0.0000,0,0,,NO
L_DSIA_D0,0.0000,0.0000,0.0000,0,0,,NO
L_DSIA_D1,0.0000,0.0000,0.0000,0,0,,NO
L_DSIA_D2,0.0000,0.0000,0.0000,0,0,,NO
L_DSIA_D3,0.0000,0.0000,0.0000,0,0,,NO
L_DSIB_CLK,0.0000,0.0000,0.0000,0,0,,NO
L_DSIB_D0,0.0000,0.0000,0.0000,0,0,,NO
L_DSIB_D1,0.0000,0.0000,0.0000,0,0,,NO
L_DSIB_D2,0.0000,0.0000,0.0000,0,0,,NO
L_DSIB_D3,0.0000,0.0000,0.0000,0,0,,NO
PCIE_CLK,0.0000,0.0000,0.0000,0,0,,NO
PCIE_RX,0.0000,0.0000,0.0000,0,0,,NO
PCIE_RX_USB3,0.0000,0.0000,0.0000,0,0,,NO
PCIE_TX,0.0000,0.0000,0.0000,0,0,,NO
R_DSIA_CLK,0.0000,0.0000,0.0000,0,0,,NO
R_DSIA_D0,0.0000,0.0000,0.0000,0,0,,NO
R_DSIA_D1,0.0000,0.0000,0.0000,0,0,,NO
R_DSIA_D2,0.0000,0.0000,0.0000,0,0,,NO
R_DSIA_D3,0.0000,0.0000,0.0000,0,0,,NO
R_DSIB_CLK,0.0000,0.0000,0.0000,0,0,,NO
R_DSIB_D0,0.0000,0.0000,0.0000,0,0,,NO
R_DSIB_D1,0.0000,0.0000,0.0000,0,0,,NO
R_DSIB_D2,0.0000,0.0000,0.0000,0,0,,NO
R_DSIB_D3,0.0000,0.0000,0.0000,0,0,,NO
USB3_RX,0.0000,0.0000,0.0000,0,0,,NO
USB3_TX,0.0000,0.0000,0.0000,0,0,,NO
USB_C_RX1,0.0000,0.0000,0.0000,0,0,,NO
USB_C_RX2,0.0000,0.0000,0.0000,0,0,,NO
USB_C_TX1,0.0000,0.0000,0.0000,0,0,,NO
USB_C_TX2,0.0000,0.0000,0.0000,0,0,,NO
