Pair,P_length_mm,N_length_mm,Mismatch_mm,P_vias,N_vias,Layers
HDMI_L_CLK,0.0000,0.0000,0.0000,0,0,
HDMI_L_D0,0.0000,0.0000,0.0000,0,0,
HDMI_L_D1,34.7707,0.0000,34.7707,3,0,B.Cu/F.Cu/PWR_SIG1/PWR_SIG2
HDMI_L_D2,0.0000,0.0000,0.0000,0,0,
HDMI_R_CLK,0.0000,0.0000,0.0000,0,0,
HDMI_R_D0,0.0000,0.0000,0.0000,0,0,
HDMI_R_D1,0.0000,0.0000,0.0000,0,0,
HDMI_R_D2,0.0000,0.0000,0.0000,0,0,
L_DSIA_CLK,0.0000,0.0000,0.0000,0,0,
L_DSIA_D0,0.0000,0.0000,0.0000,0,0,
L_DSIA_D1,0.0000,0.0000,0.0000,0,0,
L_DSIA_D2,0.0000,0.0000,0.0000,0,0,
L_DSIA_D3,0.0000,0.0000,0.0000,0,0,
L_DSIB_CLK,0.0000,0.0000,0.0000,0,0,
L_DSIB_D0,0.0000,0.0000,0.0000,0,0,
L_DSIB_D1,0.0000,0.0000,0.0000,0,0,
L_DSIB_D2,0.0000,0.0000,0.0000,0,0,
L_DSIB_D3,0.0000,0.0000,0.0000,0,0,
PCIE_CLK,0.0000,0.0000,0.0000,0,0,
PCIE_RX,0.0000,0.0000,0.0000,0,0,
PCIE_RX_USB3,9.5748,10.3214,0.7466,2,2,F.Cu/PWR_SIG2
PCIE_TX,0.0000,0.0000,0.0000,0,0,
R_DSIA_CLK,0.0000,0.0000,0.0000,0,0,
R_DSIA_D0,0.0000,0.0000,0.0000,0,0,
R_DSIA_D1,0.0000,0.0000,0.0000,0,0,
R_DSIA_D2,0.0000,0.0000,0.0000,0,0,
R_DSIA_D3,0.0000,0.0000,0.0000,0,0,
R_DSIB_CLK,0.0000,0.0000,0.0000,0,0,
R_DSIB_D0,0.0000,0.0000,0.0000,0,0,
R_DSIB_D1,0.0000,0.0000,0.0000,0,0,
R_DSIB_D2,0.0000,0.0000,0.0000,0,0,
R_DSIB_D3,0.0000,0.0000,0.0000,0,0,
USB3_RX,0.0000,9.1443,9.1443,0,2,F.Cu/PWR_SIG2
USB3_TX,0.0000,0.0000,0.0000,0,0,
USB_C_RX1,24.6636,24.3310,0.3326,3,4,F.Cu/PWR_SIG1/PWR_SIG2
USB_C_RX2,17.4228,3.2250,14.1978,2,0,F.Cu/PWR_SIG1
USB_C_TX1,19.3473,20.0847,0.7375,2,2,F.Cu/PWR_SIG1
USB_C_TX2,20.0758,3.5677,16.5081,3,0,F.Cu/PWR_SIG1/PWR_SIG2
