Pair,P_length_mm,N_length_mm,Mismatch_mm,P_vias,N_vias,Layers
HDMI_L_CLK,0.0000,0.0000,0.0000,0,0,
HDMI_L_D0,0.0000,0.0000,0.0000,0,0,
HDMI_L_D1,0.0000,0.0000,0.0000,0,0,
HDMI_L_D2,0.0000,0.0000,0.0000,0,0,
HDMI_R_CLK,0.0000,0.0000,0.0000,0,0,
HDMI_R_D0,0.0000,0.0000,0.0000,0,0,
HDMI_R_D1,0.0000,0.0000,0.0000,0,0,
HDMI_R_D2,0.0000,0.0000,0.0000,0,0,
L_DSIA_CLK,0.0000,0.0000,0.0000,0,0,
L_DSIA_D0,0.0000,0.0000,0.0000,0,0,
L_DSIA_D1,0.0000,0.0000,0.0000,0,0,
L_DSIA_D2,0.0000,0.0000,0.0000,0,0,
L_DSIA_D3,0.0000,0.0000,0.0000,0,0,
L_DSIB_CLK,0.0000,0.0000,0.0000,0,0,
L_DSIB_D0,0.0000,0.0000,0.0000,0,0,
L_DSIB_D1,0.0000,0.0000,0.0000,0,0,
L_DSIB_D2,0.0000,0.0000,0.0000,0,0,
L_DSIB_D3,0.0000,0.0000,0.0000,0,0,
PCIE_CLK,0.0000,0.0000,0.0000,0,0,
PCIE_RX,0.0000,0.0000,0.0000,0,0,
PCIE_RX_USB3,0.0000,0.0000,0.0000,0,0,
PCIE_TX,0.0000,0.0000,0.0000,0,0,
R_DSIA_CLK,0.0000,0.0000,0.0000,0,0,
R_DSIA_D0,0.0000,0.0000,0.0000,0,0,
R_DSIA_D1,0.0000,0.0000,0.0000,0,0,
R_DSIA_D2,0.0000,0.0000,0.0000,0,0,
R_DSIA_D3,0.0000,0.0000,0.0000,0,0,
R_DSIB_CLK,0.0000,0.0000,0.0000,0,0,
R_DSIB_D0,0.0000,0.0000,0.0000,0,0,
R_DSIB_D1,0.0000,0.0000,0.0000,0,0,
R_DSIB_D2,0.0000,0.0000,0.0000,0,0,
R_DSIB_D3,0.0000,0.0000,0.0000,0,0,
USB3_RX,0.0000,0.0000,0.0000,0,0,
USB3_TX,0.0000,0.0000,0.0000,0,0,
USB_C_RX1,0.0000,0.0000,0.0000,0,0,
USB_C_RX2,0.0000,0.0000,0.0000,0,0,
USB_C_TX1,0.0000,0.0000,0.0000,0,0,
USB_C_TX2,0.0000,0.0000,0.0000,0,0,
