Net,Pad_count,Track_or_via_count,Has_routed_copper
+1V05_USB,20,0,no
+1V8,2,0,no
+2V8_MIC,4,0,no
+3V3,50,0,no
+3V3_AUDIO,7,0,no
+5V_SYS,34,0,no
AUDIO_1V8_LDO,3,6,yes
AUDIO_MCLK,2,24,yes
AUDIO_REF,2,0,no
AUDIO_RESET_N,2,0,no
BAT+,4,0,no
BATP,2,0,no
BAT_ID,1,0,no
BIAS_FLY1,2,17,yes
BIAS_FLY2,2,0,no
BIAS_REG,3,0,no
BIAS_SW,2,14,yes
BL_EN,3,0,no
BL_PWM,5,0,no
BST1,2,0,no
BST2,2,7,yes
BST_5V,2,0,no
BT_ENABLE_N,2,17,yes
CC1,5,0,no
CC2,5,0,no
CHG_IRQ_N,3,0,no
CHG_SCL,3,0,no
CHG_SDA,3,28,yes
CHG_STAT,2,0,no
CM4_EXT_RESET_N,2,0,no
DISPLAY_1V15,8,0,no
DISPLAY_1V2,8,38,yes
DISPLAY_1V8,28,0,no
DISPLAY_3V3,8,0,no
DISPLAY_GPIO_INT_N,2,0,no
DISPLAY_GPIO_RESETN,2,11,yes
DISPLAY_I2C_SCL_1V8,7,0,no
DISPLAY_I2C_SDA_1V8,7,0,no
EMMC_BOOT_N,2,0,no
FB_5V,4,0,no
GND,395,24,yes
HDMI_L_CEC,2,0,no
HDMI_L_CLK_N,2,0,no
HDMI_L_CLK_P,2,0,no
HDMI_L_D0_N,2,0,no
HDMI_L_D0_P,2,0,no
HDMI_L_D1_N,2,0,no
HDMI_L_D1_P,2,0,no
HDMI_L_D2_N,2,0,no
HDMI_L_D2_P,2,0,no
HDMI_L_DDC_SCL,2,0,no
HDMI_L_DDC_SDA,2,0,no
HDMI_L_HPD,2,0,no
HDMI_R_CEC,2,11,yes
HDMI_R_CLK_N,2,0,no
HDMI_R_CLK_P,2,0,no
HDMI_R_D0_N,2,0,no
HDMI_R_D0_P,2,0,no
HDMI_R_D1_N,2,0,no
HDMI_R_D1_P,2,0,no
HDMI_R_D2_N,2,0,no
HDMI_R_D2_P,2,0,no
HDMI_R_DDC_SCL,2,0,no
HDMI_R_DDC_SDA,2,12,yes
HDMI_R_HPD,2,0,no
HP_L,2,7,yes
HP_L_CODEC,2,2,yes
HP_R,2,10,yes
HP_R_CODEC,2,11,yes
I2C_SCL,8,0,no
I2C_SDA,8,65,yes
I2Ct_SCL,3,21,yes
I2Ct_SDA,3,18,yes
I2S_BCLK,2,0,no
I2S_DIN,2,0,no
I2S_DOUT,2,15,yes
I2S_LRCLK,2,23,yes
ILIM_HIZ,3,0,no
JACK_MIC,3,16,yes
JACK_MIC_CODEC,2,2,yes
LCD_BIAS_ENN,2,0,no
LCD_BIAS_ENP,2,19,yes
LCD_VSN,7,0,no
LCD_VSP,7,0,no
LDO_1V5,4,6,yes
LDO_3V3,8,0,no
LED_BLUE_GPIO16_N,2,20,yes
LED_BLUE_K,2,3,yes
LED_BOOST,6,0,no
LED_GREEN_GPIO13_N,2,12,yes
LED_GREEN_K,2,6,yes
LED_RED_K,2,6,yes
L_1V15_CORE,5,26,yes
L_1V15_HDMI,4,21,yes
L_1V2_MIPI0,4,13,yes
L_1V2_MIPI1,3,16,yes
L_1V8_IO,4,0,no
L_3V3_HDMI,7,0,no
L_3V3_IO,3,0,no
L_BIASDA,2,9,yes
L_BRIDGE_INT,3,0,no
L_BRIDGE_RESETN,2,0,no
L_DSIA_CLK_N,2,0,no
L_DSIA_CLK_P,2,0,no
L_DSIA_D0_N,2,0,no
L_DSIA_D0_P,2,0,no
L_DSIA_D1_N,2,0,no
L_DSIA_D1_P,2,0,no
L_DSIA_D2_N,2,0,no
L_DSIA_D2_P,2,0,no
L_DSIA_D3_N,2,0,no
L_DSIA_D3_P,2,0,no
L_DSIB_CLK_N,2,0,no
L_DSIB_CLK_P,2,0,no
L_DSIB_D0_N,2,0,no
L_DSIB_D0_P,2,0,no
L_DSIB_D1_N,2,0,no
L_DSIB_D1_P,2,0,no
L_DSIB_D2_N,2,0,no
L_DSIB_D2_P,2,0,no
L_DSIB_D3_N,2,0,no
L_DSIB_D3_P,2,0,no
L_HPDI,3,0,no
L_LCD_LEDPWM,4,0,no
L_LCD_RESET,3,0,no
L_LCD_TE,3,0,no
L_LED1_N,2,0,no
L_LED2_N,2,0,no
L_LED3_N,2,0,no
L_PCKIN,2,7,yes
L_PFIL,2,8,yes
L_REFCLK,2,12,yes
L_REXT,2,12,yes
L_S1_TEST,2,6,yes
MICBIAS,3,13,yes
MIC_L_N,2,9,yes
MIC_L_P,2,9,yes
MIC_L_RAW_N,2,6,yes
MIC_L_RAW_P,2,5,yes
MIC_R_N,2,0,no
MIC_R_P,2,0,no
MIC_R_RAW_N,2,7,yes
MIC_R_RAW_P,2,7,yes
MODE_5V,3,17,yes
PCIE_CLKREQ_N,3,0,no
PCIE_CLK_N,2,0,no
PCIE_CLK_P,2,0,no
PCIE_RST_N,2,0,no
PCIE_RX_N,2,0,no
PCIE_RX_P,2,0,no
PCIE_RX_USB3_N,2,0,no
PCIE_RX_USB3_P,2,0,no
PCIE_TX_N,2,0,no
PCIE_TX_P,2,0,no
PD_IRQ_N,2,0,no
PGOOD_5V,2,5,yes
PMID,4,0,no
PPHV,10,0,no
PROG,2,11,yes
PROX_INT,2,10,yes
PWR_KEY_GPIO26_N,2,9,yes
PWR_KEY_N,2,12,yes
REGN,3,14,yes
REG_1V15_FB,3,10,yes
REG_1V15_SW,2,0,no
REG_1V2_FB,3,11,yes
REG_1V2_SW,2,11,yes
REG_1V8_FB,3,9,yes
REG_1V8_SW,2,13,yes
REG_3V3_FB,3,8,yes
REG_3V3_SW,2,0,no
RUN_PG,2,0,no
R_1V15_CORE,5,0,no
R_1V15_HDMI,4,21,yes
R_1V2_MIPI0,4,15,yes
R_1V2_MIPI1,3,14,yes
R_1V8_IO,4,0,no
R_3V3_HDMI,7,33,yes
R_3V3_IO,3,18,yes
R_BIASDA,2,17,yes
R_BRIDGE_INT,3,0,no
R_BRIDGE_RESETN,2,0,no
R_DSIA_CLK_N,2,0,no
