Reference,Value,Side,X_mm,Y_mm,Rotation_deg,DNP,3D_models
C1,10u,Bottom,211.5000,93.0000,0.00,no,1
C10,10u,Bottom,219.2250,113.0000,0.00,no,1
C11,10u,Bottom,219.2250,115.0000,0.00,no,1
C12,100n,Bottom,219.2250,117.0000,0.00,no,1
C13,10u,Bottom,216.2250,105.0000,0.00,no,1
C14,10u,Bottom,216.2250,103.5000,0.00,no,1
C15,100n,Bottom,216.2250,102.0000,0.00,no,1
C16,4u7,Bottom,219.2750,102.0000,0.00,no,1
C17,47n,Bottom,219.2750,105.0000,0.00,no,1
C18,47n,Bottom,219.7250,110.5000,0.00,no,1
C19,10u,Bottom,103.2250,123.0000,0.00,no,1
C2,10u,Bottom,211.5000,95.0000,0.00,no,1
C20,10u,Bottom,106.2750,123.0000,0.00,no,1
C2010,100n,Top,142.0000,112.0000,0.00,no,1
C2011,100n,Top,148.4200,110.0000,0.00,no,1
C2012,100n,Top,150.5200,110.0000,0.00,no,1
C20120,1u,Top,150.5500,114.5000,0.00,no,1
C20121,1u,Top,152.0000,116.5000,0.00,no,1
C20122,2.2u,Top,158.2250,101.5000,0.00,no,1
C20123,2.2u,Top,158.2250,103.5000,0.00,no,1
C2013,100n,Top,148.4200,111.0000,0.00,no,1
C20130,100n,Top,130.4900,106.5000,0.00,no,1
C20131,100n,Top,130.4900,107.7000,0.00,no,1
C20132,100n,Top,130.4900,108.9000,0.00,no,1
C2014,100n,Top,150.5200,111.0000,0.00,no,1
C2015,100n,Top,148.4200,112.0000,0.00,no,1
C2016,100n,Top,150.5200,112.0000,0.00,no,1
C2017,100n,Top,150.4800,103.5000,0.00,no,1
C2020,100n,Top,186.5200,99.5000,0.00,no,1
C2021,100n,Top,167.9000,103.5000,0.00,no,1
C2022,100n,Top,170.0000,103.5000,0.00,no,1
C20220,1u,Top,171.2250,96.5000,0.00,no,1
C20221,1u,Top,171.2250,98.5000,0.00,no,1
C20222,2.2u,Top,183.3200,103.0000,0.00,no,1
C20223,2.2u,Top,184.5000,105.0000,0.00,no,1
C2023,100n,Top,167.9000,105.0000,0.00,no,1
C20230,100n,Top,167.0200,108.5000,0.00,no,1
C20231,100n,Top,167.0400,110.0000,0.00,no,1
C20232,100n,Top,167.0400,111.5000,0.00,no,1
C2024,100n,Top,170.0000,105.0000,0.00,no,1
C2025,100n,Top,167.9000,106.5000,0.00,no,1
C2026,100n,Top,170.0000,106.5000,0.00,no,1
C2027,100n,Top,199.5000,104.9800,0.00,no,1
C2031,4.7uF 10V,Bottom,121.0000,124.0000,180.00,no,1
C2032,10uF 6.3V,Bottom,110.7750,106.5000,180.00,no,1
C2041,4.7uF 10V,Bottom,138.2250,110.5000,180.00,no,1
C2042,10uF 6.3V,Bottom,138.2250,108.5000,180.00,no,1
C2051,4.7uF 10V,Bottom,110.7750,104.5000,180.00,no,1
C2052,10uF 6.3V,Bottom,117.5000,97.0000,180.00,no,1
C2061,4.7uF 10V,Bottom,110.7750,108.5000,180.00,no,1
C2062,10uF 6.3V,Bottom,139.2250,118.5000,180.00,no,1
C21,10u,Bottom,138.2250,112.5000,0.00,no,1
C22,10u,Bottom,103.2250,125.0000,0.00,no,1
C23,10u,Bottom,106.2750,125.0000,0.00,no,1
C24,100n,Bottom,219.2750,103.5000,0.00,no,1
C25,100n,Bottom,139.2250,120.5000,0.00,no,1
C26,1u,Bottom,139.2250,122.5000,0.00,no,1
C260,2.2uF,Top,106.5750,98.3125,0.00,no,1
C261,1uF 10V,Top,106.5750,100.3125,0.00,no,1
C262,1uF 10V,Top,106.5750,102.3125,0.00,no,1
C265,2.2uF,Top,221.7250,102.0000,0.00,no,1
C266,1uF 10V,Top,221.7250,104.0000,0.00,no,1
C267,1uF 10V,Top,221.7250,106.0000,0.00,no,1
C27,47p,Bottom,121.0000,126.0000,0.00,no,1
C270,4.7uF 10V,Bottom,198.7250,110.5000,180.00,no,1
C271,2.2uF 10V,Bottom,198.7250,112.0000,180.00,no,1
C272,4.7uF 10V,Bottom,198.7250,113.5000,180.00,no,1
C273,4.7uF 10V,Bottom,198.7250,115.0000,180.00,no,1
C274,1uF,Bottom,200.7250,108.5000,180.00,no,1
C28,100n,Top,209.1650,127.1100,90.00,no,1
C280,68n COMP,Bottom,234.4900,130.5000,180.00,no,1
C281,10uF 10V,Bottom,230.0000,122.5000,180.00,no,1
C282,10uF 16V,Bottom,230.0000,123.5000,180.00,no,1
C283,10uF 16V,Bottom,230.0000,124.5000,180.00,no,1
C29,100n,Top,210.6250,127.1100,90.00,no,1
C290,100n,Bottom,203.0000,112.5000,180.00,no,1
C291,100n,Bottom,207.9800,115.5000,180.00,no,1
C3,10u,Bottom,211.5000,97.0000,0.00,no,1
C30,100n,Top,212.1250,127.1100,90.00,no,1
C301,10uF SD POWER (CM4 LITE ONLY),Bottom,233.7250,114.5000,180.00,no,1
C31,100n,Top,171.8850,121.5000,0.00,no,1
C32,100n,Top,174.3850,121.5000,0.00,no,1
C33,100n,Top,209.1250,129.4600,90.00,no,1
C34,100n,Top,210.6250,129.4600,90.00,no,1
C35,100n,Top,212.1250,129.4600,90.00,no,1
C36,100n,Top,171.8850,122.8700,0.00,no,1
C37,100n,Top,174.3850,122.8700,0.00,no,1
C38,10u,Top,209.1250,131.9600,90.00,no,1
C39,1u,Top,210.6250,131.9800,90.00,no,1
C4,10u,Bottom,208.0000,93.0000,0.00,no,1
C40,1u,Top,212.1250,131.9800,90.00,no,1
C41,1u,Top,118.5200,115.0000,0.00,no,1
C42,1u,Top,125.5000,111.5200,90.00,no,1
C43,100n,Top,127.0000,111.5200,90.00,no,1
C44,10u,Top,125.0000,118.5200,90.00,no,1
C45,10u,Top,124.0000,111.5200,90.00,no,1
C46,10u,Top,124.0000,114.0200,90.00,no,1
C47,10u,Top,125.5000,114.0200,90.00,no,1
C48,100n,Top,127.0000,114.0200,90.00,no,1
C49,1u C0G,Top,135.5000,123.5000,0.00,no,1
C5,10u,Bottom,208.0000,95.0000,0.00,no,1
C50,1u C0G,Top,135.5000,125.0000,0.00,no,1
C51,1u C0G,Top,205.5200,128.5000,0.00,no,1
C52,1u C0G,Top,205.5000,127.0000,0.00,no,1
C55,100n PCIe AC,Top,201.5000,109.4800,90.00,no,1
C56,100n PCIe AC,Top,203.0000,108.6100,90.00,no,1
