Reference,In_schematic,On_board2,Status
C1,yes,yes,MATCH
C10,yes,yes,MATCH
C11,yes,yes,MATCH
C12,yes,yes,MATCH
C13,yes,yes,MATCH
C14,yes,yes,MATCH
C15,yes,yes,MATCH
C16,yes,yes,MATCH
C17,yes,yes,MATCH
C18,yes,yes,MATCH
C19,yes,yes,MATCH
C2,yes,yes,MATCH
C20,yes,yes,MATCH
C2010,yes,yes,MATCH
C2011,yes,yes,MATCH
C2012,yes,yes,MATCH
C20120,yes,yes,MATCH
C20121,yes,yes,MATCH
C20122,yes,yes,MATCH
C20123,yes,yes,MATCH
C2013,yes,yes,MATCH
C20130,yes,yes,MATCH
C20131,yes,yes,MATCH
C20132,yes,yes,MATCH
C2014,yes,yes,MATCH
C2015,yes,yes,MATCH
C2016,yes,yes,MATCH
C2017,yes,yes,MATCH
C2020,yes,yes,MATCH
C2021,yes,yes,MATCH
C2022,yes,yes,MATCH
C20220,yes,yes,MATCH
C20221,yes,yes,MATCH
C20222,yes,yes,MATCH
C20223,yes,yes,MATCH
C2023,yes,yes,MATCH
C20230,yes,yes,MATCH
C20231,yes,yes,MATCH
C20232,yes,yes,MATCH
C2024,yes,yes,MATCH
C2025,yes,yes,MATCH
C2026,yes,yes,MATCH
C2027,yes,yes,MATCH
C2031,yes,yes,MATCH
C2032,yes,yes,MATCH
C2041,yes,yes,MATCH
C2042,yes,yes,MATCH
C2051,yes,yes,MATCH
C2052,yes,yes,MATCH
C2061,yes,yes,MATCH
C2062,yes,yes,MATCH
C21,yes,yes,MATCH
C22,yes,yes,MATCH
C23,yes,yes,MATCH
C24,yes,yes,MATCH
C25,yes,yes,MATCH
C26,yes,yes,MATCH
C260,yes,yes,MATCH
C261,yes,yes,MATCH
C262,yes,yes,MATCH
C265,yes,yes,MATCH
C266,yes,yes,MATCH
C267,yes,yes,MATCH
C27,yes,yes,MATCH
C270,yes,yes,MATCH
C271,yes,yes,MATCH
C272,yes,yes,MATCH
C273,yes,yes,MATCH
C274,yes,yes,MATCH
C28,yes,yes,MATCH
C280,yes,yes,MATCH
C281,yes,yes,MATCH
C282,yes,yes,MATCH
C283,yes,yes,MATCH
C29,yes,yes,MATCH
C290,yes,yes,MATCH
C291,yes,yes,MATCH
C3,yes,yes,MATCH
C30,yes,yes,MATCH
C301,yes,yes,MATCH
C31,yes,yes,MATCH
C32,yes,yes,MATCH
C33,yes,yes,MATCH
C34,yes,yes,MATCH
C35,yes,yes,MATCH
C36,yes,yes,MATCH
C37,yes,yes,MATCH
C38,yes,yes,MATCH
C39,yes,yes,MATCH
C4,yes,yes,MATCH
C40,yes,yes,MATCH
C41,yes,yes,MATCH
C42,yes,yes,MATCH
C43,yes,yes,MATCH
C44,yes,yes,MATCH
C45,yes,yes,MATCH
C46,yes,yes,MATCH
C47,yes,yes,MATCH
C48,yes,yes,MATCH
C49,yes,yes,MATCH
C5,yes,yes,MATCH
C50,yes,yes,MATCH
C51,yes,yes,MATCH
C52,yes,yes,MATCH
C55,yes,yes,MATCH
C56,yes,yes,MATCH
C57,yes,yes,MATCH
C58,yes,yes,MATCH
C59,yes,yes,MATCH
C6,yes,yes,MATCH
C60,yes,yes,MATCH
C61,yes,yes,MATCH
C62,yes,yes,MATCH
C63,yes,yes,MATCH
C64,yes,yes,MATCH
C65,yes,yes,MATCH
C66,yes,yes,MATCH
C67,yes,yes,MATCH
C68,yes,yes,MATCH
C7,yes,yes,MATCH
C8,yes,yes,MATCH
C9,yes,yes,MATCH
D1,yes,yes,MATCH
D11,yes,yes,MATCH
D201,yes,yes,MATCH
FB1,yes,yes,MATCH
FB2011,yes,yes,MATCH
FB2012,yes,yes,MATCH
FB2013,yes,yes,MATCH
FB2014,yes,yes,MATCH
FB2015,yes,yes,MATCH
FB2016,yes,yes,MATCH
FB2017,yes,yes,MATCH
FB2021,yes,yes,MATCH
FB2022,yes,yes,MATCH
FB2023,yes,yes,MATCH
FB2024,yes,yes,MATCH
FB2025,yes,yes,MATCH
FB2026,yes,yes,MATCH
FB2027,yes,yes,MATCH
H1,yes,yes,MATCH
H2,yes,yes,MATCH
H3,yes,yes,MATCH
H4,yes,yes,MATCH
H5,yes,yes,MATCH
H6,yes,yes,MATCH
J1,yes,yes,MATCH
J10,yes,yes,MATCH
J11,yes,yes,MATCH
J2,yes,yes,MATCH
J201,yes,yes,MATCH
J202,yes,yes,MATCH
J301,yes,yes,MATCH
J6,yes,yes,MATCH
J7,yes,yes,MATCH
J8,yes,yes,MATCH
J9,yes,yes,MATCH
L1,yes,yes,MATCH
L2,yes,yes,MATCH
L203,yes,yes,MATCH
L204,yes,yes,MATCH
L205,yes,yes,MATCH
L206,yes,yes,MATCH
L207,yes,yes,MATCH
L208,yes,yes,MATCH
L3,yes,yes,MATCH
MK1,yes,yes,MATCH
MK2,yes,yes,MATCH
Module1,yes,yes,MATCH
R1,yes,yes,MATCH
R10,yes,yes,MATCH
R11,yes,yes,MATCH
R12,yes,yes,MATCH
R13,yes,yes,MATCH
R14,yes,yes,MATCH
R15,yes,yes,MATCH
R16,yes,yes,MATCH
R17,yes,yes,MATCH
R18,yes,yes,MATCH
R19,yes,yes,MATCH
R2,yes,yes,MATCH
R20,yes,yes,MATCH
R2010,yes,yes,MATCH
R2011,yes,yes,MATCH
R2012,yes,yes,MATCH
R2020,yes,yes,MATCH
R2021,yes,yes,MATCH
R2022,yes,yes,MATCH
